transaction_id,user_id,merchant_id,transaction_time,amount_inr,payment_method,status,risk_score
TXN100103,207,18,15-01-2026 22:19,149,UPI,captured,64
TXN100104,42,39,18-01-2026 15:28,2999,Card,captured,5
TXN100105,166,39,29-01-2026 13:47,149,UPI,captured,32
TXN100106,346,37,01-01-2026 02:14,99,UPI,captured,75
TXN100107,138,37,01-01-2026 21:52,499,UPI,captured,5
TXN100108,266,29,25-01-2026 05:30,499,Wallet,failed,35
TXN100109,326,32,06-01-2026 18:27,149,UPI,captured,11
TXN100110,171,21,16-01-2026 11:26,799,UPI,captured,85
TXN100111,211,32,04-01-2026 05:21,49,UPI,captured,36
TXN100112,282,3,22-01-2026 12:52,499,UPI,captured,58
TXN100113,166,8,03-01-2026 10:16,299,UPI,captured,98
TXN100114,1,35,13-01-2026 16:52,149,UPI,captured,59
TXN100115,266,24,14-01-2026 01:12,499,UPI,captured,79
TXN100116,227,4,25-01-2026 15:40,499,UPI,captured,26
TXN100117,148,29,09-01-2026 17:08,499,UPI,captured,89
TXN100118,323,39,16-01-2026 03:01,499,UPI,captured,30
TXN100119,283,1,23-01-2026 05:19,2999,Wallet,captured,70
TXN100120,59,30,14-01-2026 02:14,499,UPI,captured,15
TXN100121,150,33,21-01-2026 04:31,2999,UPI,captured,90
TXN100122,248,31,09-01-2026 13:53,1499,UPI,failed,31
TXN100123,197,13,15-01-2026 17:09,49,UPI,captured,76
TXN100124,70,5,17-01-2026 23:56,499,UPI,captured,35
TXN100125,260,18,25-01-2026 13:21,1499,UPI,captured,0
TXN100126,301,38,10-01-2026 23:19,99,UPI,captured,84
TXN100127,276,31,16-01-2026 04:28,499,Card,captured,44
TXN100128,279,25,11-01-2026 17:48,799,UPI,captured,58
TXN100129,97,16,30-01-2026 10:55,799,Card,captured,73
TXN100130,211,3,13-01-2026 07:54,149,UPI,chargeback,40
TXN100131,196,25,24-01-2026 15:45,149,Netbanking,captured,84
TXN100132,254,3,26-01-2026 20:09,149,Card,captured,16
TXN100133,52,29,17-01-2026 18:21,49,Netbanking,captured,12
TXN100134,74,27,17-01-2026 14:00,799,UPI,captured,83
TXN100135,136,22,05-01-2026 02:30,149,UPI,captured,79
TXN100136,42,22,23-01-2026 12:41,49,UPI,captured,86
TXN100137,163,32,28-01-2026 17:24,2999,Wallet,failed,69
TXN100138,121,19,02-01-2026 19:04,149,UPI,captured,29
TXN100139,51,7,24-01-2026 02:27,499,Card,captured,56
TXN100140,15,3,06-01-2026 22:19,799,UPI,captured,41
TXN100141,184,24,26-01-2026 01:18,49,UPI,captured,55
TXN100142,211,37,05-01-2026 07:33,1499,UPI,captured,87
TXN100143,90,6,26-01-2026 05:10,49,Card,captured,78
TXN100144,350,16,28-01-2026 12:39,49,UPI,captured,63
TXN100145,119,30,30-01-2026 18:09,49,Card,captured,81
TXN100146,342,1,09-01-2026 14:16,49,UPI,captured,59
TXN100147,280,11,29-01-2026 09:43,149,UPI,chargeback,9
TXN100148,154,28,15-01-2026 11:37,2999,Netbanking,captured,88
TXN100149,155,13,09-01-2026 14:54,149,UPI,captured,49
TXN100150,122,25,28-01-2026 15:06,299,UPI,captured,73
TXN100151,152,2,12-01-2026 18:18,49,UPI,captured,84
TXN100152,290,4,13-01-2026 08:00,149,UPI,captured,77
TXN100153,147,15,24-01-2026 15:53,49,Wallet,captured,77
TXN100154,326,13,26-01-2026 11:14,299,Netbanking,captured,79
TXN100155,338,9,09-01-2026 21:48,99,Card,captured,80
TXN100156,21,20,04-01-2026 20:41,2999,UPI,captured,100
TXN100157,187,9,15-01-2026 01:37,49,Card,failed,11
TXN100158,213,12,30-01-2026 09:20,4999,UPI,captured,25
TXN100159,188,34,05-01-2026 17:56,2999,UPI,captured,64
TXN100160,85,17,30-01-2026 08:53,499,UPI,captured,61
TXN100161,174,8,26-01-2026 09:47,299,Netbanking,captured,59
TXN100162,116,26,03-01-2026 04:48,99,Netbanking,captured,71
TXN100163,203,1,12-01-2026 02:50,149,Wallet,captured,33
TXN100164,189,17,18-01-2026 03:29,99,UPI,captured,74
TXN100165,56,15,13-01-2026 20:23,299,UPI,captured,60
TXN100166,288,21,01-01-2026 19:56,4999,Wallet,failed,78
TXN100167,326,30,08-01-2026 20:04,99,Card,captured,89
TXN100168,60,9,10-01-2026 20:26,49,Netbanking,captured,5
TXN100169,60,7,02-01-2026 09:31,2999,Wallet,captured,30
TXN100170,199,30,29-01-2026 17:08,149,Netbanking,captured,47
TXN100171,277,27,22-01-2026 23:44,49,UPI,captured,75
TXN100172,213,7,24-01-2026 23:09,799,Netbanking,captured,62
TXN100173,17,24,20-01-2026 13:17,299,UPI,captured,27
TXN100174,186,7,15-01-2026 14:15,1499,Card,failed,87
TXN100175,331,23,12-01-2026 17:57,149,UPI,captured,7
TXN100176,63,30,13-01-2026 08:12,1499,Card,captured,11
TXN100177,328,39,22-01-2026 06:41,4999,Wallet,chargeback,2
TXN100178,65,37,02-01-2026 10:15,2999,Card,captured,26
TXN100179,301,14,03-01-2026 17:13,149,UPI,captured,29
TXN100180,306,1,11-01-2026 04:50,299,UPI,failed,35
TXN100181,277,17,28-01-2026 04:08,299,UPI,captured,22
TXN100182,14,9,04-01-2026 21:55,499,UPI,captured,1
TXN100183,166,2,12-01-2026 07:37,299,Card,captured,22
TXN100184,216,34,09-01-2026 01:08,299,Card,captured,14
TXN100185,230,24,24-01-2026 02:30,49,UPI,captured,65
TXN100186,258,15,19-01-2026 03:28,499,Wallet,captured,78
TXN100187,338,34,02-01-2026 23:50,49,UPI,captured,38
TXN100188,32,31,15-01-2026 20:01,299,UPI,captured,51
TXN100189,252,29,14-01-2026 21:06,1499,UPI,captured,9
TXN100190,312,10,29-01-2026 02:20,799,UPI,captured,8
TXN100191,325,38,05-01-2026 08:39,1499,Netbanking,captured,70
TXN100192,306,34,23-01-2026 10:24,2999,UPI,captured,37
TXN100193,221,7,15-01-2026 16:38,149,Netbanking,captured,89
TXN100194,283,14,04-01-2026 20:41,99,Wallet,captured,55
TXN100195,174,30,15-01-2026 07:26,49,UPI,captured,51
TXN100196,161,28,14-01-2026 23:06,49,UPI,captured,40
TXN100197,79,31,22-01-2026 08:23,99,UPI,captured,8
TXN100198,222,7,03-01-2026 02:05,149,Wallet,captured,95
TXN100199,67,36,24-01-2026 11:51,99,UPI,captured,7
TXN100200,169,8,19-01-2026 17:35,99,UPI,captured,52
TXN100201,217,4,12-01-2026 21:48,49,UPI,captured,36
TXN100202,54,37,20-01-2026 09:22,149,UPI,captured,64
TXN100203,247,15,07-01-2026 04:42,49,Card,captured,13
TXN100204,59,18,12-01-2026 17:23,49,Card,captured,73
TXN100205,288,40,08-01-2026 13:54,49,UPI,failed,78
TXN100206,14,39,22-01-2026 20:35,799,UPI,captured,84
TXN100207,15,12,27-01-2026 22:17,149,UPI,captured,34
TXN100208,174,23,23-01-2026 09:58,149,UPI,captured,0
TXN100209,337,26,06-01-2026 04:36,49,UPI,captured,8
TXN100210,16,6,05-01-2026 23:40,1499,UPI,captured,95
TXN100211,215,30,17-01-2026 06:24,49,UPI,captured,43
TXN100212,167,37,06-01-2026 11:19,99,UPI,captured,76
TXN100213,81,40,03-01-2026 01:09,49,UPI,captured,6
TXN100214,227,28,22-01-2026 02:17,99,UPI,captured,62
TXN100215,140,14,20-01-2026 14:26,299,Wallet,captured,96
TXN100216,221,8,17-01-2026 03:22,299,UPI,captured,36
TXN100217,250,34,22-01-2026 21:37,299,Wallet,captured,85
TXN100218,203,39,10-01-2026 01:14,49,UPI,captured,7
TXN100219,109,9,01-01-2026 06:19,499,Wallet,captured,97
TXN100220,62,1,09-01-2026 09:20,4999,Wallet,captured,63
TXN100221,67,25,24-01-2026 13:11,49,UPI,captured,68
TXN100222,287,23,23-01-2026 07:32,49,UPI,captured,9
TXN100223,224,2,13-01-2026 23:02,49,Card,captured,58
TXN100224,161,37,30-01-2026 02:55,299,UPI,captured,54
TXN100225,328,27,19-01-2026 12:45,49,UPI,chargeback,37
TXN100226,167,11,04-01-2026 12:01,1499,Card,failed,79
TXN100227,186,6,15-01-2026 22:58,49,Wallet,captured,55
TXN100228,224,38,28-01-2026 03:15,299,Wallet,failed,51
TXN100229,159,22,17-01-2026 02:25,799,UPI,captured,28
TXN100230,262,8,11-01-2026 05:04,149,UPI,captured,67
TXN100231,179,23,17-01-2026 06:57,49,Wallet,captured,93
TXN100232,76,16,27-01-2026 20:52,299,UPI,captured,13
TXN100233,89,39,05-01-2026 08:12,299,UPI,captured,19
TXN100234,91,32,25-01-2026 20:04,49,UPI,captured,59
TXN100235,297,29,25-01-2026 18:48,99,Card,chargeback,87
TXN100236,326,40,30-01-2026 18:41,499,Card,captured,41
TXN100237,78,29,28-01-2026 20:20,149,UPI,captured,8
TXN100238,156,18,16-01-2026 14:40,2999,Card,captured,75
TXN100239,38,20,02-01-2026 11:32,49,Wallet,failed,59
TXN100240,189,19,15-01-2026 01:03,99,UPI,failed,9
TXN100241,305,33,21-01-2026 02:39,299,Card,captured,49
TXN100242,22,29,15-01-2026 18:35,799,UPI,captured,73
TXN100243,310,31,21-01-2026 06:20,49,Card,captured,64
TXN100244,53,22,05-01-2026 01:28,299,UPI,captured,91
TXN100245,89,3,03-01-2026 16:41,149,Card,captured,31
TXN100246,269,34,23-01-2026 14:28,149,UPI,captured,78
TXN100247,145,25,06-01-2026 11:23,799,UPI,captured,52
TXN100248,307,4,25-01-2026 10:43,1499,UPI,captured,80
TXN100249,169,7,21-01-2026 10:04,1499,Wallet,captured,71
TXN100250,130,39,22-01-2026 12:18,2999,Wallet,captured,19
TXN100251,340,10,11-01-2026 02:37,49,Card,captured,44
TXN100252,340,26,10-01-2026 20:44,299,Card,captured,16
TXN100253,159,36,20-01-2026 22:05,49,UPI,captured,48
TXN100254,66,34,21-01-2026 10:52,799,UPI,captured,11
TXN100255,261,24,21-01-2026 21:27,799,Card,captured,2
TXN100256,110,22,12-01-2026 09:11,799,UPI,captured,98
TXN100257,71,10,16-01-2026 06:14,49,UPI,captured,9
TXN100258,277,34,10-01-2026 03:32,49,UPI,captured,4
TXN100259,317,9,22-01-2026 10:56,499,Wallet,captured,76
TXN100260,93,40,13-01-2026 04:10,299,UPI,captured,21
TXN100261,211,24,24-01-2026 14:02,99,Netbanking,captured,86
TXN100262,313,19,24-01-2026 07:28,149,UPI,captured,96
TXN100263,274,16,24-01-2026 14:14,49,Wallet,failed,39
TXN100264,100,24,26-01-2026 15:57,299,UPI,captured,86
TXN100265,145,25,19-01-2026 14:29,2999,Wallet,captured,64
TXN100266,103,39,17-01-2026 13:10,2999,Wallet,captured,17
TXN100267,329,31,28-01-2026 08:03,299,Wallet,captured,47
TXN100268,265,8,18-01-2026 03:45,499,Netbanking,captured,36
TXN100269,231,33,03-01-2026 05:17,149,UPI,failed,18
TXN100270,114,29,27-01-2026 13:05,799,UPI,chargeback,44
TXN100271,28,26,30-01-2026 00:26,1499,UPI,failed,64
TXN100272,42,24,12-01-2026 07:24,149,UPI,captured,28
TXN100273,51,22,01-01-2026 10:59,799,UPI,captured,18
TXN100274,242,9,05-01-2026 01:18,149,UPI,captured,97
TXN100275,316,1,23-01-2026 15:28,149,UPI,captured,10
TXN100276,77,36,01-01-2026 08:13,149,UPI,captured,93
TXN100277,57,19,20-01-2026 16:27,49,UPI,captured,30
TXN100278,123,27,10-01-2026 03:03,149,Netbanking,captured,81
TXN100279,33,8,26-01-2026 19:29,299,Wallet,captured,63
TXN100280,324,33,20-01-2026 17:01,499,UPI,captured,73
TXN100281,150,28,08-01-2026 22:09,49,UPI,failed,0
TXN100282,293,27,20-01-2026 11:15,4999,UPI,captured,23
TXN100283,269,24,22-01-2026 21:05,49,Wallet,captured,8
TXN100284,260,36,17-01-2026 17:32,1499,UPI,captured,2
TXN100285,326,25,13-01-2026 15:02,49,UPI,captured,47
TXN100286,183,5,09-01-2026 23:01,49,Card,captured,44
TXN100287,322,7,08-01-2026 23:42,299,UPI,captured,98
TXN100288,171,9,19-01-2026 23:48,299,UPI,captured,5
TXN100289,330,12,12-01-2026 17:21,1499,Netbanking,captured,99
TXN100290,246,12,22-01-2026 14:44,99,Wallet,captured,17
TXN100291,235,3,03-01-2026 22:49,49,UPI,captured,37
TXN100292,103,3,07-01-2026 01:50,499,UPI,captured,40
TXN100293,204,35,30-01-2026 09:32,99,Wallet,captured,60
TXN100294,332,13,09-01-2026 01:48,49,Card,captured,36
TXN100295,336,22,12-01-2026 01:55,499,UPI,captured,34
TXN100296,205,29,04-01-2026 11:27,99,Wallet,captured,49
TXN100297,255,24,11-01-2026 05:31,799,UPI,captured,66
TXN100298,218,6,09-01-2026 02:46,99,UPI,captured,55
TXN100299,151,21,20-01-2026 05:34,49,UPI,captured,13
TXN100300,152,20,03-01-2026 10:42,49,UPI,captured,57
TXN100301,86,29,20-01-2026 22:27,149,Card,captured,44
TXN100302,181,40,15-01-2026 01:46,149,UPI,captured,55
TXN100303,30,5,09-01-2026 20:50,299,UPI,captured,85
TXN100304,263,11,21-01-2026 12:23,149,Wallet,captured,3
TXN100305,225,3,05-01-2026 19:43,99,Netbanking,captured,16
TXN100306,331,24,03-01-2026 07:49,49,Card,captured,46
TXN100307,310,10,13-01-2026 18:02,1499,Card,captured,86
TXN100308,228,5,15-01-2026 11:23,49,UPI,captured,73
TXN100309,204,21,05-01-2026 16:23,499,UPI,captured,83
TXN100310,14,12,09-01-2026 07:07,799,Netbanking,captured,63
TXN100311,288,8,17-01-2026 12:58,49,UPI,captured,33
TXN100312,229,14,25-01-2026 08:45,1499,UPI,captured,78
TXN100313,252,13,10-01-2026 22:58,99,Wallet,captured,15
TXN100314,89,29,05-01-2026 02:28,799,UPI,captured,11
TXN100315,164,23,26-01-2026 21:54,49,Netbanking,captured,90
TXN100316,149,20,03-01-2026 17:34,299,Wallet,captured,20
TXN100317,327,12,23-01-2026 22:59,49,Netbanking,captured,46
TXN100318,103,9,17-01-2026 07:07,149,UPI,captured,30
TXN100319,185,36,26-01-2026 15:01,49,Wallet,captured,73
TXN100320,283,9,12-01-2026 14:51,299,UPI,captured,78
TXN100321,159,26,29-01-2026 02:04,99,UPI,captured,91
TXN100322,211,27,24-01-2026 15:33,99,Wallet,captured,73
TXN100323,329,5,03-01-2026 04:20,499,Netbanking,captured,57
TXN100324,177,9,15-01-2026 21:33,99,UPI,captured,99
TXN100325,94,9,18-01-2026 20:37,299,UPI,captured,55
TXN100326,64,34,17-01-2026 01:53,299,UPI,captured,19
TXN100327,166,15,10-01-2026 05:10,49,UPI,captured,44
TXN100328,41,17,17-01-2026 09:54,299,Wallet,captured,25
TXN100329,65,20,21-01-2026 17:17,99,Card,captured,78
TXN100330,329,11,18-01-2026 02:32,499,UPI,captured,75
TXN100331,338,40,19-01-2026 04:10,149,UPI,captured,92
TXN100332,289,3,29-01-2026 19:21,49,Netbanking,captured,3
TXN100333,296,17,03-01-2026 01:41,99,UPI,captured,83
TXN100334,317,2,07-01-2026 18:26,499,Card,captured,63
TXN100335,149,20,29-01-2026 20:34,499,Card,captured,61
TXN100336,153,30,08-01-2026 21:25,299,UPI,captured,9
TXN100337,226,27,23-01-2026 01:10,2999,UPI,chargeback,61
TXN100338,311,10,15-01-2026 06:21,2999,UPI,captured,40
TXN100339,177,26,28-01-2026 22:20,1499,UPI,captured,16
TXN100340,288,7,25-01-2026 11:32,99,Netbanking,captured,40
TXN100341,137,29,08-01-2026 14:07,2999,UPI,failed,31
TXN100342,149,25,05-01-2026 03:03,1499,UPI,captured,78
TXN100343,82,21,14-01-2026 07:55,49,Wallet,captured,73
TXN100344,82,32,24-01-2026 10:12,49,UPI,captured,65
TXN100345,158,32,15-01-2026 15:56,99,Wallet,captured,2
TXN100346,235,16,03-01-2026 12:32,99,UPI,captured,27
TXN100347,26,19,19-01-2026 11:03,99,Wallet,captured,63
TXN100348,241,19,20-01-2026 20:43,299,UPI,captured,68
TXN100349,69,17,01-01-2026 03:27,1499,UPI,captured,93
TXN100350,24,26,12-01-2026 12:23,299,Netbanking,captured,6
TXN100351,186,36,19-01-2026 17:12,4999,UPI,captured,36
TXN100352,231,36,03-01-2026 12:32,149,UPI,captured,35
TXN100353,313,8,27-01-2026 19:43,1499,Netbanking,captured,16
TXN100354,174,36,04-01-2026 12:23,149,UPI,captured,46
TXN100355,309,33,25-01-2026 04:12,99,UPI,captured,51
TXN100356,20,9,17-01-2026 01:02,99,UPI,captured,91
TXN100357,234,10,11-01-2026 15:33,49,UPI,captured,77
TXN100358,168,40,29-01-2026 16:08,149,UPI,chargeback,40
TXN100359,154,38,06-01-2026 12:39,99,Netbanking,captured,43
TXN100360,251,37,17-01-2026 16:34,49,UPI,captured,38
TXN100361,170,8,16-01-2026 00:23,2999,UPI,captured,53
TXN100362,323,2,19-01-2026 09:50,49,Netbanking,captured,76
TXN100363,297,37,16-01-2026 08:41,2999,Wallet,captured,29
TXN100364,246,11,24-01-2026 01:37,299,UPI,captured,67
TXN100365,195,10,21-01-2026 23:39,99,UPI,captured,87
TXN100366,57,13,08-01-2026 01:36,149,UPI,captured,2
TXN100367,78,27,15-01-2026 10:26,1499,Netbanking,failed,88
TXN100368,314,31,07-01-2026 13:32,49,UPI,chargeback,94
TXN100369,71,34,24-01-2026 01:45,499,UPI,captured,26
TXN100370,245,34,18-01-2026 10:42,99,UPI,captured,48
TXN100371,273,22,11-01-2026 05:29,299,Wallet,captured,69
TXN100372,349,17,12-01-2026 21:49,1499,UPI,captured,78
TXN100373,143,36,16-01-2026 06:15,1499,Netbanking,captured,38
TXN100374,148,14,08-01-2026 09:49,799,Wallet,captured,88
TXN100375,246,23,23-01-2026 15:20,49,UPI,captured,71
TXN100376,148,8,30-01-2026 23:17,99,Wallet,captured,73
TXN100377,203,23,22-01-2026 17:24,49,UPI,captured,98
TXN100378,22,19,26-01-2026 04:18,49,Card,captured,91
TXN100379,227,17,03-01-2026 11:59,299,Wallet,captured,95
TXN100380,276,18,16-01-2026 06:12,149,Wallet,captured,71
TXN100381,56,40,23-01-2026 08:08,99,Card,captured,94
TXN100382,26,34,19-01-2026 07:15,499,Card,captured,28
TXN100383,52,27,21-01-2026 07:03,499,Card,captured,42
TXN100384,349,9,23-01-2026 15:06,499,Wallet,captured,0
TXN100385,335,31,18-01-2026 05:26,49,Card,captured,61
TXN100386,148,21,21-01-2026 06:48,49,Card,captured,36
TXN100387,46,37,21-01-2026 01:58,99,Wallet,captured,29
TXN100388,20,12,18-01-2026 23:46,799,Card,captured,53
TXN100389,19,26,29-01-2026 05:59,49,UPI,captured,100
TXN100390,149,3,16-01-2026 05:59,4999,Wallet,captured,1
TXN100391,55,22,10-01-2026 18:38,499,UPI,captured,36
TXN100392,269,32,15-01-2026 20:34,49,Card,captured,17
TXN100393,140,13,28-01-2026 16:29,2999,UPI,captured,14
TXN100394,235,17,11-01-2026 05:46,2999,UPI,captured,91
TXN100395,173,19,06-01-2026 00:47,499,UPI,failed,72
TXN100396,313,26,22-01-2026 06:11,499,UPI,captured,54
TXN100397,206,7,17-01-2026 10:05,149,Wallet,captured,23
TXN100398,128,1,05-01-2026 15:20,1499,Netbanking,captured,33
TXN100399,137,22,13-01-2026 07:28,799,UPI,failed,38
TXN100400,6,17,19-01-2026 23:36,49,UPI,captured,83
TXN100401,32,8,12-01-2026 22:15,299,Card,captured,59
TXN100402,258,20,10-01-2026 05:25,149,UPI,captured,88
TXN100403,152,24,04-01-2026 20:58,149,UPI,chargeback,78
TXN100404,245,10,08-01-2026 07:08,799,Wallet,captured,58
TXN100405,213,36,24-01-2026 19:23,49,Wallet,captured,60
TXN100406,341,14,25-01-2026 17:51,99,Netbanking,captured,97
TXN100407,306,6,08-01-2026 21:48,149,Netbanking,captured,67
TXN100408,186,5,15-01-2026 16:45,499,UPI,captured,72
TXN100409,281,33,04-01-2026 01:53,4999,UPI,captured,25
TXN100410,85,21,19-01-2026 17:09,99,UPI,captured,66
TXN100411,106,38,15-01-2026 03:43,499,UPI,captured,62
TXN100412,29,30,03-01-2026 16:28,149,Netbanking,captured,16
TXN100413,289,4,17-01-2026 13:29,1499,Card,captured,71
TXN100414,158,2,15-01-2026 21:51,1499,Card,captured,50
TXN100415,112,38,09-01-2026 00:47,49,UPI,captured,9
TXN100416,33,35,02-01-2026 13:22,299,Card,failed,7
TXN100417,242,3,30-01-2026 02:59,49,UPI,captured,36
TXN100418,70,27,14-01-2026 05:49,149,UPI,captured,47
TXN100419,194,25,29-01-2026 12:28,49,Wallet,captured,10
TXN100420,277,9,22-01-2026 21:55,799,UPI,captured,83
TXN100421,92,35,28-01-2026 11:07,49,UPI,captured,50
TXN100422,115,1,17-01-2026 04:46,149,Wallet,captured,96
TXN100423,345,35,01-01-2026 09:29,499,Card,captured,54
TXN100424,118,16,18-01-2026 12:52,49,UPI,captured,58
TXN100425,97,8,12-01-2026 04:17,99,Netbanking,captured,4
TXN100426,315,2,26-01-2026 21:26,299,Wallet,captured,30
TXN100427,305,3,07-01-2026 02:06,299,UPI,captured,57
